Temp(K)	    k(W/m-K)
1718.0	     2.57
1719.0	     2.57
1720.0	     2.57
1721.0	     2.57
1722.0	     2.56
1723.0	     2.56
1724.0	     2.56
1725.0	     2.56
1726.0	     2.56
1727.0	     2.56
1728.0	     2.56
1729.0	     2.56
1730.0	     2.56
1731.0	     2.56
1732.0	     2.56
1733.0	     2.56
1734.0	     2.56
1735.0	     2.56
1736.0	     2.56
1737.0	     2.56
1738.0	     2.55
1739.0	     2.55
1740.0	     2.55
1741.0	     2.55
1742.0	     2.55
1743.0	     2.55
1744.0	     2.55
1745.0	     2.55
1746.0	     2.55
1747.0	     2.55
1748.0	     2.55
1749.0	     2.55
1750.0	     2.55
1751.0	     2.55
1752.0	     2.55
1753.0	     2.55
1754.0	     2.55
1755.0	     2.55
1756.0	     2.54
1757.0	     2.54
1758.0	     2.54
1759.0	     2.54
1760.0	     2.54
1761.0	     2.54
1762.0	     2.54
1763.0	     2.54
1764.0	     2.54
1765.0	     2.54
1766.0	     2.54
1767.0	     2.54
1768.0	     2.54
1769.0	     2.54
1770.0	     2.54
1771.0	     2.54
1772.0	     2.54
1773.0	     2.54
1774.0	     2.54
1775.0	     2.54
1776.0	     2.54
1777.0	     2.53
1778.0	     2.53
1779.0	     2.53
1780.0	     2.53
1781.0	     2.53
1782.0	     2.53
1783.0	     2.53
1784.0	     2.53
1785.0	     2.53
1786.0	     2.53
1787.0	     2.53
1788.0	     2.53
1789.0	     2.53
1790.0	     2.53
1791.0	     2.53
1792.0	     2.53
1793.0	     2.53
1794.0	     2.53
1795.0	     2.53
1796.0	     2.53
1797.0	     2.53
1798.0	     2.53
1799.0	     2.53
1800.0	     2.53
1801.0	     2.53
1802.0	     2.53
1803.0	     2.53
1804.0	     2.52
1805.0	     2.52
1806.0	     2.52
1807.0	     2.52
1808.0	     2.52
1809.0	     2.52
1810.0	     2.52
1811.0	     2.52
1812.0	     2.52
1813.0	     2.52
1814.0	     2.52
1815.0	     2.52
1816.0	     2.52
1817.0	     2.52
1818.0	     2.52
1819.0	     2.52
1820.0	     2.52
1821.0	     2.52
1822.0	     2.52
1823.0	     2.52
1824.0	     2.52
1825.0	     2.52
1826.0	     2.52
1827.0	     2.52
1828.0	     2.52
1829.0	     2.52
1830.0	     2.52
1831.0	     2.52
1832.0	     2.52
1833.0	     2.52
1834.0	     2.52
1835.0	     2.52
1836.0	     2.52
1837.0	     2.52
1838.0	     2.52
1839.0	     2.52
1840.0	     2.52
1841.0	     2.52
1842.0	     2.52
1843.0	     2.52
1844.0	     2.51
1845.0	     2.51
1846.0	     2.51
1847.0	     2.51
1848.0	     2.51
1849.0	     2.51
1850.0	     2.51
1851.0	     2.51
1852.0	     2.51
1853.0	     2.51
1854.0	     2.51
1855.0	     2.51
1856.0	     2.51
1857.0	     2.51
1858.0	     2.51
1859.0	     2.51
1860.0	     2.51
1861.0	     2.51
1862.0	     2.51
1863.0	     2.51
1864.0	     2.51
1865.0	     2.51
1866.0	     2.51
1867.0	     2.51
1868.0	     2.51
1869.0	     2.51
1870.0	     2.51
1871.0	     2.51
1872.0	     2.51
1873.0	     2.51
1874.0	     2.51
1875.0	     2.51
1876.0	     2.51
1877.0	     2.51
1878.0	     2.51
1879.0	     2.51
1880.0	     2.51
1881.0	     2.51
1882.0	     2.51
1883.0	     2.51
1884.0	     2.51
1885.0	     2.51
1886.0	     2.51
1887.0	     2.51
1888.0	     2.51
1889.0	     2.51
1890.0	     2.51
1891.0	     2.51
1892.0	     2.51
1893.0	     2.51
1894.0	     2.51
1895.0	     2.51
1896.0	     2.51
1897.0	     2.51
1898.0	     2.51
1899.0	     2.51
1900.0	     2.51
1901.0	     2.51
1902.0	     2.51
1903.0	     2.51
1904.0	     2.51
1905.0	     2.51
1906.0	     2.51
1907.0	     2.51
1908.0	     2.51
1909.0	     2.51
1910.0	     2.51
1911.0	     2.51
1912.0	     2.51
1913.0	     2.51
1914.0	     2.51
1915.0	     2.51
1916.0	     2.51
1917.0	     2.51
1918.0	     2.51
1919.0	     2.51
1920.0	     2.51
1921.0	     2.51
1922.0	     2.51
1923.0	     2.52
1924.0	     2.52
1925.0	     2.52
1926.0	     2.52
1927.0	     2.52
1928.0	     2.52
1929.0	     2.52
1930.0	     2.52
1931.0	     2.52
1932.0	     2.52
1933.0	     2.52
1934.0	     2.52
1935.0	     2.52
1936.0	     2.52
1937.0	     2.52
1938.0	     2.52
1939.0	     2.52
1940.0	     2.52
1941.0	     2.52
1942.0	     2.52
1943.0	     2.52
1944.0	     2.52
1945.0	     2.52
1946.0	     2.52
1947.0	     2.52
1948.0	     2.52
1949.0	     2.52
1950.0	     2.52
1951.0	     2.52
1952.0	     2.52
1953.0	     2.52
1954.0	     2.52
1955.0	     2.52
1956.0	     2.52
1957.0	     2.52
1958.0	     2.52
1959.0	     2.52
1960.0	     2.52
1961.0	     2.52
1962.0	     2.52
1963.0	     2.52
1964.0	     2.53
1965.0	     2.53
1966.0	     2.53
1967.0	     2.53
1968.0	     2.53
1969.0	     2.53
1970.0	     2.53
1971.0	     2.53
1972.0	     2.53
1973.0	     2.53
1974.0	     2.53
1975.0	     2.53
1976.0	     2.53
1977.0	     2.53
1978.0	     2.53
1979.0	     2.53
1980.0	     2.53
1981.0	     2.53
1982.0	     2.53
1983.0	     2.53
1984.0	     2.53
1985.0	     2.53
1986.0	     2.53
1987.0	     2.53
1988.0	     2.53
1989.0	     2.53
1990.0	     2.54
1991.0	     2.54
1992.0	     2.54
1993.0	     2.54
1994.0	     2.54
1995.0	     2.54
1996.0	     2.54
1997.0	     2.54
1998.0	     2.54
1999.0	     2.54
